,name,note,location
0,E_1.,F,./Frets_photos/E\E_1.png
1,E_2.,F#,./Frets_photos/E\E_2.png
2,E_3.,G,./Frets_photos/E\E_3.png
3,E_4.,G#,./Frets_photos/E\E_4.png
4,E_5.,A,./Frets_photos/E\E_5.png
5,E_6.,A#,./Frets_photos/E\E_6.png
6,E_7.,B,./Frets_photos/E\E_7.png
7,E_8.,C,./Frets_photos/E\E_8.png
8,E_9.,C#,./Frets_photos/E\E_9.png
9,E_10,D,./Frets_photos/E\E_10.png
10,E_11,D#,./Frets_photos/E\E_11.png
11,E_12,E,./Frets_photos/E\E_12.png
12,A_1.,A#,./Frets_photos/A\A_1.png
13,A_2.,B,./Frets_photos/A\A_2.png
14,A_3.,C,./Frets_photos/A\A_3.png
15,A_4.,C#,./Frets_photos/A\A_4.png
16,A_5.,D,./Frets_photos/A\A_5.png
17,A_6.,D#,./Frets_photos/A\A_6.png
18,A_7.,E,./Frets_photos/A\A_7.png
19,A_8.,F,./Frets_photos/A\A_8.png
20,A_9.,F#,./Frets_photos/A\A_9.png
21,A_10,G,./Frets_photos/A\A_10.png
22,A_11,G#,./Frets_photos/A\A_11.png
23,A_12,A,./Frets_photos/A\A_12.png
24,D_1.,D#,./Frets_photos/D\D_1.png
25,D_2.,E,./Frets_photos/D\D_2.png
26,D_3.,F,./Frets_photos/D\D_3.png
27,D_4.,F#,./Frets_photos/D\D_4.png
28,D_5.,G,./Frets_photos/D\D_5.png
29,D_6.,G#,./Frets_photos/D\D_6.png
30,D_7.,A,./Frets_photos/D\D_7.png
31,D_8.,A#,./Frets_photos/D\D_8.png
32,D_9.,B,./Frets_photos/D\D_9.png
33,D_10,C,./Frets_photos/D\D_10.png
34,D_11,C#,./Frets_photos/D\D_11.png
35,D_12,D,./Frets_photos/D\D_12.png
36,G_1.,G#,./Frets_photos/G\G_1.png
37,G_2.,A,./Frets_photos/G\G_2.png
38,G_3.,A#,./Frets_photos/G\G_3.png
39,G_4.,B,./Frets_photos/G\G_4.png
40,G_5.,C,./Frets_photos/G\G_5.png
41,G_6.,C#,./Frets_photos/G\G_6.png
42,G_7.,D,./Frets_photos/G\G_7.png
43,G_8.,D#,./Frets_photos/G\G_8.png
44,G_9.,E,./Frets_photos/G\G_9.png
45,G_10,F,./Frets_photos/G\G_10.png
46,G_11,F#,./Frets_photos/G\G_11.png
47,G_12,G,./Frets_photos/G\G_12.png
48,B_1.,C,./Frets_photos/B\B_1.png
49,B_2.,C#,./Frets_photos/B\B_2.png
50,B_3.,D,./Frets_photos/B\B_3.png
51,B_4.,D#,./Frets_photos/B\B_4.png
52,B_5.,E,./Frets_photos/B\B_5.png
53,B_6.,F,./Frets_photos/B\B_6.png
54,B_7.,F#,./Frets_photos/B\B_7.png
55,B_8.,G,./Frets_photos/B\B_8.png
56,B_9.,G#,./Frets_photos/B\B_9.png
57,B_10,A,./Frets_photos/B\B_10.png
58,B_11,A#,./Frets_photos/B\B_11.png
59,B_12,B,./Frets_photos/B\B_12.png
